Name,URL,Category,License,Pricing,Execution Model,Tier,Evidence,Last Checked
hankweave,https://github.com/SouthBridgeAI/hankweave-runtime,Coding Agent,Unknown,Unknown,Unknown,green,GH SouthBridgeAI/hankweave-runtime 135★ pushed 2026-08-18; long-horizon runtime orchestrating existing agent harnesses with sentinels/checkpoints.,2026-09-07
hanshuaikang/nezha,https://github.com/hanshuaikang/nezha,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-09-07 stars=1897.,2026-09-07
HarnessRouter/harnessrouter,https://github.com/HarnessRouter/harnessrouter,Coding Agent,Unknown,Unknown,Unknown,green,GH HarnessRouter/harnessrouter: ★669 push 2026-09-07 archived=False; Self-hosted Apache-2 unified interface for agent harnesses.,2026-09-07
Headlong,https://github.com/laude-institute/headlong,Coding Agent,Unknown,Unknown,Unknown,green,gh 2026-09-05 stars=1128.,2026-09-07
herdrdev/herdr,https://github.com/herdrdev/herdr,Coding Agent,Unknown,Unknown,Unknown,green,GH herdrdev/herdr: ★36056 push 2026-09-07 archived=False; Runtime your coding agents live on — ★36k active same-day.,2026-09-07
hetpatel-11/agent-hop,https://github.com/hetpatel-11/agent-hop,Coding Agent,Unknown,Unknown,Unknown,green,GH hetpatel-11/agent-hop 30★ push 2026-08-31.,2026-09-07
Hive (hive-ai.dev),https://github.com/morapelker/hive,Coding Agent,Unknown,Unknown,Unknown,green,hive-ai.dev; gh 2026-09-05 stars=465.,2026-09-07
Hivemind,https://hivemindai.dev,Coding Agent,Unknown,Unknown,Unknown,green,hivemindai.dev 200 MCP coordination; GH activeloopai/hivemind 1595★ push 2026-09-03.,2026-09-07
HKUDS/DeepCode,https://github.com/HKUDS/DeepCode,Coding Agent,Unknown,Unknown,Unknown,green,HKUDS/DeepCode ★16495 push 2026-09-06.,2026-09-07
holaboss-ai/holaOS,https://github.com/holaboss-ai/holaOS,Coding Agent,Unknown,Unknown,Unknown,green,GH holaboss-ai/holaOS 11178★ pushed 2026-08-21; open-source enterprise agentic workspace with MCP/integrations.,2026-09-07
huangruiteng/loopx,https://github.com/huangruiteng/loopx,Coding Agent,Unknown,Unknown,Unknown,green,"Long-horizon coding-agent control plane loopx (~5.7k★, push 2026-09-07).; GH fresh.; GH huangruiteng/loopx: ★5701 pushed 2026-09-07; fundingNote: OSS unverified.",2026-09-07
huggingface/smolagents,https://github.com/huggingface/smolagents,Coding Agent,Unknown,Unknown,Unknown,green,GH huggingface/smolagents ~29k★ push 2026-08-25; barebones code-first agent library (agents that think in code). Active HF framework.,2026-09-07
alibaba/open-code-review,https://github.com/alibaba/open-code-review,Coding Agent,Unknown,Unknown,Unknown,green,gh alibaba/open-code-review ★22039 pushed 2026-09-07; topics agent/harness/code-review.,2026-09-07
cloudflare/vibesdk,https://build.cloudflare.dev,Coding Agent,Unknown,Unknown,Unknown,green,gh cloudflare/vibesdk ★5347 pushed 2026-09-07; topics coding-agent; live build.cloudflare.dev.,2026-09-07
frankbria/ralph-claude-code,https://github.com/frankbria/ralph-claude-code,Coding Agent,Unknown,Unknown,Unknown,green,gh ★9624 pushed 2026-07-18; README v0.11.5 784 tests.,2026-09-07
intellectronica/ruler,https://github.com/intellectronica/ruler,Coding Agent,Unknown,Unknown,Unknown,green,GH intellectronica/ruler: 2912★ pushed 2026-09-02T17:04:13Z; HTTP 200 GitHub - intellectronica/ruler: Ruler — apply the same rules to all coding agent,2026-09-07
ironclaw,https://www.ironclaw.com,Coding Agent,Unknown,Unknown,Unknown,green,"GH nearai/ironclaw: 12608★ pushed 2026-09-07T08:02:18Z; HTTP 200 IronClaw: Unleash Your AI Agent, With Peace of Mind",2026-09-07
jazzenchen/VibeAround,https://github.com/jazzenchen/VibeAround,Coding Agent,Unknown,Unknown,Unknown,green,GH jazzenchen/VibeAround 523★ pushed 2026-09-05; vibearound.ai launcher keeping Claude/Codex/Gemini/Pi agents side-by-side.,2026-09-07
Jean (coollabsio/jean),https://github.com/coollabsio/jean,Coding Agent,Unknown,Unknown,Unknown,green,jean.build 200; gh pushed_at=2026-09-06 stars=1260; supports Claude/Codex/OpenCode/Cursor/etc.,2026-09-07
JetBrains Junie,https://junie.jetbrains.com,Coding Agent,Unknown,Unknown,Unknown,green,"HTTP 200 junie.jetbrains.com; JetBrains AI coding agent (CLI + IDE) BYOK, IntelliJ engine, SWE-Rebench.",2026-09-07
jonwiggins/optio,https://github.com/jonwiggins/optio,Coding Agent,Unknown,Unknown,Unknown,green,"optio coding-agent swarm orchestrator (~1k★, push 2026-08-11).; optio.host + GH.; GH jonwiggins/optio: ★1044 pushed 2026-08-11; fundingNote: OSS.",2026-09-07
jrswab/axe,https://github.com/jrswab/axe,Coding Agent,Unknown,Unknown,Unknown,green,GH jrswab/axe 838★ pushed 2026-07-03; lightweight TOML-defined single-purpose agent CLI — real micro-harness.,2026-09-07
kenn-io/agentsview,https://github.com/kenn-io/agentsview,Coding Agent,Unknown,Unknown,Unknown,green,"GH kenn-io/agentsview: 5794★ pushed 2026-09-07T15:07:58Z; HTTP 200 GitHub - kenn-io/agentsview: Local-first session search, analytics, insights, an",2026-09-07
kodo,https://github.com/ikamensh/kodo,Coding Agent,Unknown,Unknown,Unknown,green,GH ikamensh/kodo ~131★ push 2026-09-06; orchestrator splitting architect/workers across Claude Code/Cursor/Codex/Gemini — small but real coding orchestrator.,2026-09-07
Kuberwastaken/claurst,https://github.com/Kuberwastaken/claurst,Coding Agent,Unknown,Unknown,Unknown,green,GH Kuberwastaken/claurst ~10.3k★ push 2026-09-02; Claude Code rewritten in idiomatic Rust; live claurst.kuber.studio.,2026-09-07
KunAgent/Kun,https://github.com/KunAgent/Kun,Coding Agent,Unknown,Unknown,Unknown,green,"GH KunAgent/Kun: 6292★ pushed 2026-09-07T15:17:17Z; HTTP 200 GitHub - KunAgent/Kun: Local-first AI agent workspace for coding, writing, desig",2026-09-07
kunchenguid/firstmate,https://github.com/kunchenguid/firstmate,Coding Agent,Unknown,Unknown,Unknown,green,"Active multi-agent coding crew firstmate (~4.9k★, push 2026-09-07).; GH fresh GitHub-only.; GH kunchenguid/firstmate: ★4903 pushed 2026-09-07; fundingNote: OSS unverified.",2026-09-07
langchain-ai/open-swe,https://github.com/langchain-ai/open-swe,Coding Agent,Unknown,Unknown,Unknown,green,GH langchain-ai/open-swe: ★10680 push 2026-09-07; swe.langchain.com DNS flaky — use GitHub. Open-source async coding agent.,2026-09-07
liaohch3/claude-tap,https://github.com/liaohch3/claude-tap,Coding Agent,Unknown,Unknown,Unknown,green,GH liaohch3/claude-tap: 3180★ pushed 2026-08-26T03:05:32Z; HTTP 200 GitHub - liaohch3/claude-tap: Intercept and inspect Coding Agent API traffic fro,2026-09-07
littlebearapps/untether,https://github.com/littlebearapps/untether,Coding Agent,Unknown,Unknown,Unknown,green,GH littlebearapps/untether: 66★ pushed 2026-08-31T21:43:16Z; HTTP 200 GitHub - littlebearapps/untether: Code from anywhere — Telegram bridge for AI co,2026-09-07
looptroop-ai/LoopTroop,https://github.com/looptroop-ai/LoopTroop,Coding Agent,Unknown,Unknown,Unknown,green,"LoopTroop local coding orchestrator (council+Ralph), push 2026-09-07.; Site + GH fresh.; GH looptroop-ai/LoopTroop: ★131 pushed 2026-09-07; fundingNote: OSS.",2026-09-07
Maestro,https://runmaestro.ai/,Coding Agent,Unknown,Unknown,Unknown,green,"HTTP 200 runmaestro.ai; desktop fleet orchestrator for Claude Code/Codex/Copilot/OpenCode with worktrees, auto-run, mobile remote, OSS.",2026-09-07
max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,Coding Agent,Unknown,Unknown,Unknown,green,GH max-sixty/worktrunk 6865★ push 2026-09-07.,2026-09-07
maxritter/pilot-shell,https://github.com/maxritter/pilot-shell,Coding Agent,Unknown,Unknown,Unknown,green,GH maxritter/pilot-shell ~2.1k★ push 2026-09-07; professional context/harness for Claude Code & Codex; pilot-shell.com live.,2026-09-07
mikeyobrien/ralph-orchestrator,https://github.com/mikeyobrien/ralph-orchestrator,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-09-02 stars=3127.,2026-09-07
mindfold-ai/Trellis,https://github.com/mindfold-ai/trellis,Coding Agent,Unknown,Unknown,Unknown,green,mindfold-ai/Trellis ★14502.,2026-09-07
mochow13/keen-code,https://github.com/mochow13/keen-code,Coding Agent,Unknown,Unknown,Unknown,green,GH mochow13/keen-code ~61★ push 2026-09-05; Go terminal coding agent multi-provider+MCP; obscure but real active gem.,2026-09-07
ModelEngine-Group/nexent,https://github.com/ModelEngine-Group/nexent,Coding Agent,Unknown,Unknown,Unknown,green,GH ModelEngine-Group/nexent: 5854★ pushed 2026-09-07T12:08:05Z; HTTP 200 GitHub - ModelEngine-Group/nexent: Nexent is a zero-code platform for auto-gener,2026-09-07
Multica,https://multica.ai,Coding Agent,Unknown,Unknown,Unknown,green,multica.ai 200; gh pushed_at=2026-09-07 stars=49135.,2026-09-07
mux,https://github.com/coder/xum,Coding Agent,Unknown,Unknown,Unknown,green,GH coder/xum: ★2006 push 2026-09-07 archived=False; Repo renamed coder/mux→coder/xum; desktop app for isolated parallel agentic development. Distinct from verified cmux.,2026-09-07
Nano-Collective/nanocoder,https://github.com/Mote-Software/nanocoder,Coding Agent,Unknown,Unknown,Unknown,green,GH Nano-Collective/nanocoder (also Mote-Software redirect path) 2455★ push 2026-09-07.,2026-09-07
NEEDLE,https://github.com/jedarden/NEEDLE,Coding Agent,Unknown,Unknown,Unknown,green,GH jedarden/NEEDLE 23★ pushed 2026-09-07; headless deterministic bead-queue orchestrator dispatching coding-agent CLIs — small but real active harness.,2026-09-07
NemoClaw,https://crewclaw.com/blog/nvidia-gtc-2026-openclaw-nemoclaw,Coding Agent,Unknown,Unknown,Unknown,green,GH NVIDIA/NemoClaw 22396★ push 2026-09-07; blog URL on crewclaw.,2026-09-07
oh-my-opencode-slim,https://github.com/alvinunreal/oh-my-opencode-slim,Coding Agent,Unknown,Unknown,Unknown,green,gh alvinunreal/oh-my-opencode-slim ★8691 pushed 2026-09-07; homepage ohmyopencodeslim.com.,2026-09-07
olimorris/codecompanion.nvim,https://github.com/olimorris/codecompanion.nvim,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-09-06 stars=6838; docs site.,2026-09-07
omg.dev,https://github.com/BennyKok/omg.dev,Coding Agent,Unknown,Unknown,Unknown,green,"omg.dev remote-control for coding agents (~519★, push 2026-09-07).; omg.dev + GH.; GH BennyKok/omg.dev: ★519 pushed 2026-09-07; fundingNote: unverified.",2026-09-07
Omnigent,https://github.com/databricks/omnigent,Coding Agent,Unknown,Unknown,Unknown,green,omnigent-ai/omnigent pushed 2026-09-07 stars=9764; omnigent.ai live.,2026-09-07
OneCLI,https://github.com/onecli/onecli,Coding Agent,Unknown,Unknown,Unknown,green,onecli/onecli ★3452 push 2026-09-03.,2026-09-07
op7418/CodePilot,https://github.com/op7418/CodePilot,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-09-05 stars=6448 homepage=codepilot.sh.,2026-09-07
OpenAgents,https://open-agents.dev,Coding Agent,Unknown,Unknown,Unknown,green,open-agents.dev 200 'Spawn coding agents that run infinitely in the cloud' on Vercel sandbox/AI SDK — live cloud coding-agent product (distinct from stale xlang-ai/OpenAgents paper repo).,2026-09-07
openai/symphony,https://github.com/openai/symphony,Coding Agent,Unknown,Unknown,Unknown,green,GH openai/symphony: ★27074 push 2026-08-19 archived=False; OpenAI OSS Codex orchestrator SPEC+Elixir ref; polls trackers→isolated agent runs.,2026-09-07
openchamber/openchamber,https://github.com/openchamber/openchamber,Coding Agent,Unknown,Unknown,Unknown,green,GH openchamber/openchamber: 9631★ pushed 2026-09-07T14:59:23Z; HTTP 200 GitHub - openchamber/openchamber: Agentic Development Environment based on OpenC,2026-09-07
OpenClaw,https://openclaw.ai,Coding Agent,Unknown,Unknown,Unknown,green,gh openclaw/openclaw ★389129 pushed 2026-09-07; openclaw.ai + docs; VentureBeat OpenClaw 2.0 multiplayer coding.,2026-09-07
OpenCoworkAI/open-cowork,https://github.com/OpenCoworkAI/open-cowork,Coding Agent,Unknown,Unknown,Unknown,green,open-cowork ★2112 push 2026-08-03.,2026-09-07
Orkas-AI/Orkas,https://orkas.ai?source=gh_vibe,Coding Agent,Unknown,Unknown,Unknown,green,orkas.ai 200; gh pushed_at=2026-09-07 stars=1788.,2026-09-07
ouijit/ouijit,https://github.com/ouijit/ouijit,Coding Agent,Unknown,Unknown,Unknown,green,GH ouijit/ouijit 166★ pushed 2026-09-03; git worktree task manager with terminals for CLI coding agents — real orchestrator UX.,2026-09-07
ovh/shai,https://github.com/ovh/shai,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-08-31 stars=621.,2026-09-07
pacifio/atlas,https://github.com/pacifio/atlas,Coding Agent,Unknown,Unknown,Unknown,green,GH pacifio/atlas 3265★ pushed 2026-09-07; tryatlas.cc source control for multiple coding agents — orchestrator/control plane.,2026-09-07
PawanOsman/OpenCursor,https://github.com/PawanOsman/OpenCursor,Coding Agent,Unknown,Unknown,Unknown,green,GH PawanOsman/OpenCursor ~6k★ push 2026-09-07; open Cursor-like VS Code coding agent (multi-provider); VS Marketplace ocursor.,2026-09-07
phodal/auto-dev,https://github.com/phodal/auto-dev,Coding Agent,Unknown,Unknown,Unknown,green,GH phodal/auto-dev 4542★ pushed 2026-08-04; Multi-Agent coding platform on Kotlin Multiplatform — CN coding-agent IDE gem.,2026-09-07
Podiom,https://github.com/Podiom/Podiom,Coding Agent,Unknown,Unknown,Unknown,green,GH Podiom/Podiom 9★ pushed 2026-09-04; thin local orchestrator for Claude Code/Codex with durable sessions — early but real.,2026-09-07
poolsideai/pool,https://github.com/poolsideai/pool,Coding Agent,Unknown,Unknown,Unknown,green,docs.poolside.ai/cli/pool 200; Poolside terminal/ACP coding agent CLI.,2026-09-07
prassanna-ravishankar/repowire,https://github.com/prassanna-ravishankar/repowire,Coding Agent,Unknown,Unknown,Unknown,green,GH prassanna-ravishankar/repowire: ★263 push 2026-08-31 archived=False; Connect Claude Code/OpenCode/Codex/Pi across projects/machines.,2026-09-07
qm,https://github.com/yc-software/qm,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-09-07 stars=14652 desc=Multiplayer agent harness for work; homepage x.com/qm__dev.,2026-09-07
raptor,https://github.com/gadievron/raptor,Coding Agent,Unknown,Unknown,Unknown,green,GH gadievron/raptor: 3726★ pushed 2026-09-07T14:48:19Z; HTTP 200 GitHub - gadievron/raptor: Raptor turns Claude Code into a general-purpose AI of,2026-09-07
receptron/mulmoterminal,https://github.com/receptron/mulmoterminal,Coding Agent,Unknown,Unknown,Unknown,green,"mulmoterminal parallel Claude/Codex sessions (~204★, push 2026-09-07).; GH fresh.; GH receptron/mulmoterminal: ★204 pushed 2026-09-07; fundingNote: OSS.",2026-09-07
remorses/kimaki,https://github.com/remorses/kimaki,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-09-05 stars=1402 homepage=kimaki.dev.,2026-09-07
rookedsysc/kanvibe,https://github.com/rookedsysc/kanvibe,Coding Agent,Unknown,Unknown,Unknown,green,GH rookedsysc/kanvibe: 141★ pushed 2026-09-07T02:56:59Z; HTTP 200 GitHub - rookedsysc/kanvibe: Keyboard-first desktop Kanban workspace for AI codi,2026-09-07
Runtime,https://runtm.com/,Coding Agent,Unknown,Unknown,Unknown,green,"runtm.com 200 ""Build and run agents that use all your tools""; YC S26 coding-agent sandbox/guardrail control plane.",2026-09-07
SeemSeam/claude_codex_bridge,https://github.com/SeemSeam/claude_codex_bridge,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-09-07 stars=3481.,2026-09-07
Shellular,https://shellular.dev,Coding Agent,Unknown,Unknown,Unknown,green,HTTP 200 shellular.dev; phone remote for Claude Code/Codex/Cursor/OpenCode + terminal/editor; by Acode team (4M downloads).,2026-09-07
Shikigami,https://shikigami.dev/,Coding Agent,Unknown,Unknown,Unknown,green,GH shikigami-dev/shikigami: lookup failed; HTTP 200 Shikigami: Run coding agents in parallel,2026-09-07
siteboon/claudecodeui,https://claudecodeui.siteboon.ai/,Coding Agent,Unknown,Unknown,Unknown,green,gh siteboon/claudecodeui ★13606 pushed 2026-09-07; cloudcli.ai live persistent CDE for agents; Discord in README.,2026-09-07
slopus/happy,https://happy.engineering,Coding Agent,Unknown,Unknown,Unknown,green,GH slopus/happy: 23684★ pushed 2026-09-07T07:23:56Z; HTTP 200 Happy — Remote Control for Claude Code &amp; Codex,2026-09-07
Sma1lboy/rove,https://github.com/Sma1lboy/rove,Coding Agent,Unknown,Unknown,Unknown,green,GH Sma1lboy/rove ★121 push 2026-09-07; rove.run terminal agent multiplexer with isolated worktrees/persistent parallel coding sessions.,2026-09-07
Sortie AI,https://github.com/sortie-ai/sortie,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-09-07 stars=148 homepage=sortie-ai.com.,2026-09-07
Stagehand,https://stagehand.dev,Coding Agent,Unknown,Unknown,Unknown,green,GH browserbase/stagehand: 24164★ pushed 2026-09-07T01:47:47Z; HTTP 200 The SDK for browser agents | Stagehand,2026-09-07
stagewise-io/stagewise,https://github.com/stagewise-io/stagewise,Coding Agent,Unknown,Unknown,Unknown,green,GH stagewise-io/stagewise 6805★ pushed 2026-09-02; Open Source Agentic IDE to create/orchestrate coding agents + worktrees.,2026-09-07
standardagents/dmux,https://github.com/standardagents/dmux,Coding Agent,Unknown,Unknown,Unknown,green,GH standardagents/dmux: 1764★ pushed 2026-08-16T17:09:22Z; HTTP 200 GitHub - standardagents/dmux: A dev agent multiplexer for git worktrees and codi,2026-09-07
strands-agents/harness-sdk,https://github.com/strands-agents/harness-sdk,Coding Agent,Unknown,Unknown,Unknown,green,GH strands-agents/harness-sdk: 7171★ pushed 2026-09-07T08:02:07Z; HTTP 200 GitHub - strands-agents/harness-sdk: Build an agent harness and control it end-t,2026-09-07
superagent-ai/grok-cli,https://github.com/superagent-ai/grok-cli,Coding Agent,Unknown,Unknown,Unknown,green,OSS Grok coding agent CLI (push 2026-07-06).; GH ~3.4k★ within bar.; fundingNote: OSS; no raise found.,2026-09-07
Superserve,https://superserve.ai,Coding Agent,Unknown,Unknown,Unknown,green,superserve.ai 200; Claude Code/Codex/OpenCode harness integrations.,2026-09-07
SWE-agent/mini-swe-agent,https://github.com/SWE-agent/mini-swe-agent,Coding Agent,Unknown,Unknown,Unknown,green,GH SWE-agent/mini-swe-agent ~7.1k★ push 2026-09-03; 100-line issue-solving coding agent CLI from Princeton SWE-agent line. Distinct from verified SWE-Agent full.,2026-09-07
teaql/teaql-agent-kit,https://github.com/teaql/teaql-agent-kit,Coding Agent,Unknown,Unknown,Unknown,green,GH teaql/teaql-agent-kit: 2806★ pushed 2026-09-06T13:40:39Z; HTTP 200 GitHub - teaql/teaql-agent-kit: A model-mediated harness for reliable agentic so,2026-09-07
TencentCloud/CubeSandbox,https://github.com/TencentCloud/CubeSandbox,Coding Agent,Unknown,Unknown,Unknown,green,GH TencentCloud/CubeSandbox 11840★ push 2026-09-07; sandbox for AI agents.,2026-09-07
Tessl,https://tessl.io,Coding Agent,Unknown,Unknown,Unknown,green,tessl.io 200 detailed enterprise skills platform; integrates coding agents.,2026-09-07
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,Coding Agent,Unknown,Unknown,Unknown,green,GH thedotmack/claude-mem: 93392★ pushed 2026-09-07T01:25:27Z; HTTP 200 GitHub - thedotmack/claude-mem: Persistent Context Across Sessions for Every Age,2026-09-07
tiann/hapi,https://github.com/tiann/hapi,Coding Agent,Unknown,Unknown,Unknown,green,GH tiann/hapi ~5k★ push 2026-09-06; mobile/desktop control plane for Claude Code/Codex/Pi/OpenCode/Kimi/Grok Build; live hapi.run.,2026-09-07
tlbx-ai/tlbx,https://github.com/tlbx-ai/tlbx,Coding Agent,Unknown,Unknown,Unknown,green,GH tlbx-ai/tlbx 108★ pushed 2026-09-07; self-hosted terminal browser multiplexer for persistent shells/coding agents.,2026-09-07
Toad,https://www.batrachian.ai/,Coding Agent,Unknown,Unknown,Unknown,green,batrachian.ai 200; lists Claude/Codex/OpenCode/etc.; GH ~3.4k★.,2026-09-07
topoteretes/cognee,https://github.com/topoteretes/cognee,Coding Agent,Unknown,Unknown,Unknown,green,GH topoteretes/cognee: 30558★ pushed 2026-09-07T07:33:34Z; HTTP 200 GitHub - topoteretes/cognee: Cognee is the open-source AI memory platform for ag,2026-09-07
Traycer,https://traycer.ai,Coding Agent,Unknown,Unknown,Unknown,green,Live traycer.ai + traycerai/traycer; desktop orchestrator for Claude Code/Codex/OpenCode/Cursor with shared artifacts/agent-to-agent — coding-agent control plane.,2026-09-07
truefoundry/trueforge,https://github.com/truefoundry/trueforge,Coding Agent,Unknown,Unknown,Unknown,green,GH truefoundry/trueforge ~5.3k★ push 2026-09-07; MIT open agent harness (loop/MCP/sandbox/approvals); live trueforge.dev; npx @truefoundry/trueforge.,2026-09-07
trycua/cua,https://github.com/trycua,Coding Agent,Unknown,Unknown,Unknown,green,GH trycua/cua: 22302★ pushed 2026-09-07T15:03:16Z; HTTP 200 Cua · GitHub,2026-09-07
Tura-AI/tura,https://github.com/Tura-AI/tura,Coding Agent,Unknown,Unknown,Unknown,green,GH Tura-AI/tura: 618★ pushed 2026-08-20T09:52:51Z; HTTP 200 GitHub - Tura-AI/tura: Build agent that uses 80% less token and delivers better,2026-09-07
tutti-os/tutti,https://github.com/tutti-os/tutti,Coding Agent,Unknown,Unknown,Unknown,green,GH tutti-os/tutti 3688★ pushed 2026-09-05; tutti.sh human+agent collaborative OS — coding-agent workspace/orchestrator.,2026-09-07
Untrivial-ai/agent-orchestrator,https://github.com/Untrivial-ai/agent-orchestrator,Coding Agent,Unknown,Unknown,Unknown,green,GH Untrivial-ai/agent-orchestrator (~ComposioHQ redirect) 11047★ pushed 2026-09-07; Agent IDE for fleets of coding agents.,2026-09-07
vercel-labs/deepsec,https://github.com/vercel-labs/deepsec,Coding Agent,Unknown,Unknown,Unknown,green,GH vercel-labs/deepsec: ★7924 push 2026-09-04 archived=False; Security harness powered by coding agents to find vulns.,2026-09-07
Verdent,https://verdent.ai,Coding Agent,Unknown,Unknown,Unknown,green,"HTTP 200 verdent.ai; Mac agentic coding app with parallel agents, Slack/Telegram remote, free mode.",2026-09-07
VibePod/vibepod-cli,https://github.com/VibePod/vibepod-cli,Coding Agent,Unknown,Unknown,Unknown,green,GH VibePod/vibepod-cli 150★ push 2026-09-07.,2026-09-07
VT Code,https://vinhnx.github.io/VTCode/,Coding Agent,Unknown,Unknown,Unknown,green,VTCode ★833 + docs 200.,2026-09-07
Waishnav/devspace,https://github.com/Waishnav/devspace,Coding Agent,Unknown,Unknown,Unknown,green,GH Waishnav/devspace ~4.5k★ push 2026-09-07; minimal coding-agent harness on MCP for ChatGPT/Claude/Hermes/Grok/OpenClaw.,2026-09-07
xenodium/agent-shell,https://github.com/xenodium/agent-shell,Coding Agent,Unknown,Unknown,Unknown,green,GH xenodium/agent-shell 1837★ push 2026-09-07.,2026-09-07
xintaofei/codeg,https://github.com/xintaofei/codeg,Coding Agent,Unknown,Unknown,Unknown,green,GH xintaofei/codeg: ★3277 push 2026-09-07 archived=False; Collaborative multi-agent coding workspace aggregating Claude Code/Codex/OpenCode/Pi.,2026-09-07
YaoApp/yao,https://github.com/YaoApp/yao,Coding Agent,Unknown,Unknown,Unknown,green,gh pushed_at=2026-09-05 stars=7902 homepage=yaoagents.com (site 404 at fetch—product still GH-active).,2026-09-07
YoanWai/agent-manager,https://github.com/YoanWai/agent-manager,Coding Agent,Unknown,Unknown,Unknown,green,GH YoanWai/agent-manager: 403★ pushed 2026-09-06T17:21:12Z; HTTP 200 GitHub - YoanWai/agent-manager: The fastest workflow for every AI coding agent.,2026-09-07
yohey-w/multi-agent-shogun,https://github.com/yohey-w/multi-agent-shogun,Coding Agent,Unknown,Unknown,Unknown,green,"Claude Code multi-agent orchestrator multi-agent-shogun (~1.4k★, push 2026-08-06).; GH yohey-w/multi-agent-shogun.; GH yohey-w/multi-agent-shogun: ★1420 pushed 2026-08-06; fundingNote: OSS.",2026-09-07
zhukunpenglinyutong/desktop-cc-gui,https://github.com/zhukunpenglinyutong/desktop-cc-gui,Coding Agent,Unknown,Unknown,Unknown,green,GH zhukunpenglinyutong/desktop-cc-gui: ★4171 push 2026-09-07 archived=False; Tauri multi-engine desktop client for Claude Code/Codex/Gemini/OpenCode/DeepSeek.,2026-09-07
aeon,https://github.com/aeonfun/aeon,Coding Agent,Unknown,Unknown,Unknown,green,gh aeonfun/aeon stars 717 pushed 2026-09-07,2026-09-07
AMAP-ML/LongHorizon-Harness,https://github.com/AMAP-ML/LongHorizon-Harness,Coding Agent,Unknown,Unknown,Unknown,green,gh stars=1474 pushed_at=2026-08-20; lh-harness.pages.dev; arXiv 2608.01964.,2026-09-07
asklokesh/loki-mode,https://github.com/asklokesh/loki-mode,Coding Agent,Unknown,Unknown,Unknown,green,site probe 2026-09-07; Active spec-driven autonomous coding agent/SDLC framework (Loki/Autonomi); push Sep 2026.,2026-09-07
awslabs/cli-agent-orchestrator,https://github.com/awslabs/cli-agent-orchestrator,Coding Agent,Unknown,Unknown,Unknown,green,gh ★1232 pushed 2026-09-07; PyPI cli-agent-orchestrator.,2026-09-07
codeaholicguy/ai-devkit,https://github.com/codeaholicguy/ai-devkit,Coding Agent,Unknown,Unknown,Unknown,green,site probe 2026-09-07; Active local-first control plane for Claude Code/Codex/Gemini/OpenCode/Cursor/Devin; push Sep 2026.,2026-09-07
CoderLuii/HolyClaude,https://github.com/CoderLuii/HolyClaude,Coding Agent,Unknown,Unknown,Unknown,green,site probe 2026-09-07; Active AI coding workstation bundling Claude Code + web UI + multi-CLI; push Sep 2026.,2026-09-07
deepcoldy/botmux,https://github.com/deepcoldy/botmux,Coding Agent,Unknown,Unknown,Unknown,green,gh deepcoldy/botmux stars 1364 pushed 2026-09-07,2026-09-07
elirantutia/vibeyard,https://github.com/elirantutia/vibeyard,Coding Agent,Unknown,Unknown,Unknown,green,gh elirantutia/vibeyard stars 1367 pushed 2026-09-03,2026-09-07
funador/claude-code-merge-queue,https://github.com/funador/claude-code-merge-queue,Coding Agent,Unknown,Unknown,Unknown,green,site probe 2026-09-07; Maintained local merge-queue orchestrator for parallel Claude Code agents; active Aug 2026.,2026-09-07
gi-dellav/zerostack,https://github.com/gi-dellav/zerostack,Coding Agent,Unknown,Unknown,Unknown,green,site probe 2026-09-07; Maintained minimal Rust coding agent with subagents/memory; active Sep 2026.,2026-09-07
Gitlawb/zero,https://github.com/Gitlawb/zero,Coding Agent,Unknown,Unknown,Unknown,green,site probe 2026-09-07; Actively maintained Go terminal coding agent; distinct from Gitlawb/openclaude; push Sep 2026.,2026-09-07
greyhaven-ai/autocontext,https://github.com/greyhaven-ai/autocontext,Coding Agent,Unknown,Unknown,Unknown,green,gh greyhaven-ai/autocontext stars 1291 pushed 2026-09-02,2026-09-07
hcom,https://github.com/aannoo/hcom,Coding Agent,Unknown,Unknown,Unknown,green,gh stars=482 pushed 2026-08-09; brew aannoo/hcom/hcom.,2026-09-07
hesamsheikh/octogent,https://github.com/hesamsheikh/octogent,Coding Agent,Unknown,Unknown,Unknown,green,gh hesamsheikh/octogent stars 1413 pushed 2026-04-20,2026-09-07
hotovo/aider-desk,https://github.com/hotovo/aider-desk,Coding Agent,Unknown,Unknown,Unknown,green,gh stars=1417 pushed_at=2026-09-07; aiderdesk.hotovo.com; Discord.,2026-09-07
hueyexe/opencode-ensemble,https://github.com/hueyexe/opencode-ensemble,Coding Agent,Unknown,Unknown,Unknown,green,gh hueyexe/opencode-ensemble stars 213 pushed 2026-08-25,2026-09-07
